SI,Course_ID,Course_Title,01_960_463_01,01_960_486_01,CALCULUS_1,CALCULUS_1_152,CS461_SPRING2023,CS462__INTRODUCTION_TO_DEEP_LEARNING,DATA_STRUCTURES,DMDS_DESCRIPTION,INTERMEDIATE_STAT_ANALYSIS_384:484,INTRODUCTION_TO_COMPUTER_SCIENCE,LINEAR_ALGEBRA,RUTGERS_NB_DATA_101_COURSE_DETAILS_AUG_16_2022,STATISTICS_II,STATISTICS_REPORT_01,STAT_METHODS_IN_BUS,SYLLABUS_-_DATA_IN_CONTEXT_-_FALL_2024_-_10516,SYLLABUS_FOR_2021SP_-_DISCRT_II_01_198_206
BU,CSE114,OBJECT ORIENTED PROGRAMMING AND DATA ABSTRACTION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,CSE115,INTRODUCTION TO DATA SCIENCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,CSE213,DATABASE SYSTEMS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH007,INTRODUCTION TO STATISTICS CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH008,QUANTITATIVE REASONING CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH012,COLLEGE ALGEBRA CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH013,MODERN COLLEGE MATHEMATICS CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH016,PRECALCULUS A CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH017,PRECALCULUS B CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH030,Accelerated Precalculus Clinic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BU,MTH032,COLLEGE ALGEBRA FOR BUSINESS CLINIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH055,PRE-ALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH075,ELEMENTARY ALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH084,THINKING ALGEBRAICALLY LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,MTH085,THINKING ALGEBRAICALLY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
